"property_id","price"
"d56159653f5d2abc5ed5acd7",631777390.208639
"45550aa81c0151f1fd9fd8fe",699184090.922569
"735deef3382aa15930482f3e",574214100.169999
"0dd49fa8bb7be52b851c6dc9",790736826.872738
"7d3220a91e78f8bc2924d1cd",1078737215.5896
"d3054072b2175deec2c1f8dc",468407101.961942
"b7574b06d593fca4eac59815",468407101.961942
"79e822115c5c1a4531366001",580716985.368178
"d3ed5316a463d38c1bd321d0",1081040668.8813
"2f1880c9b8f7ac2715e1236d",774570708.106529
"dcca1c7f109175760ff531c6",769088943.060867
"dfc4f3facf91bbd93ee0fa4d",454117962.514472
"30e134a6cbe61d7954d0f56b",415945683.082905
"385fee7bd9ad7722d45dd034",467009695.277213
"87199c236bf22903d1aafdd0",458592192.648215
"19e19ad0cd6b5e84d8aa970e",454299074.703127
"907f968e78d748fde69dd44f",738641541.867307
"be094e5db0f784e3aa013aae",482716907.630886
"7ab96f83915bc84f8c03c1bd",410767309.610605
"07f4aa9b9ff5b0b05d31e6c0",804365023.151355
"e9be8cd37abed8ab510ba1f5",645377720.67857
"5f6ad58df27b562db077b5ce",670218124.822149
"ee96d947484aaace40f9b77f",653417896.578077
"15c4aef8401208054697b81e",763966018.554639
"22d6cb11333f2839b8112b89",1039479341.04664
"288c09c33907dadbae495c11",1093465544.0387
"f71d2bca0c5fe2720a1544c4",490905097.758152
"451744cf3ce55a98db8a3562",441996031.648731
"fba9ae05a6a8a9e0c6268a9f",441996031.648731
"1338e58f7dcebf5a1ea59388",402353574.981659
"a817e8da0ada143ac87277ee",417772975.08096
"46d8bb3e9a0ca584d3c7a317",468407101.961942
"b2506aa9463aebf01e1e00ca",441242690.266416
"7ec025b9b6e6f33bf65af41b",441242690.266416
"2ff531e27672ecd2362eed55",643663572.142317
"9b3cf0d1b91b9c6a2a887647",517383964.303811
"7db5291ce4602d9b2b266872",517383964.303811
"65d5918e826c33bb950fc008",516184129.824712
"395c34e4b8f52cbdb0522459",517383964.303811
"855f4b67d2bd6d18fd03d8e7",886084917.799444
"9ff06409b37e5b5dece4604a",483691478.859803
"0508cd7bd2c77ebb6fea1e56",477915809.79988
"b45fff2e718e54772d46a3fd",549022348.276838
"cf4d2297b73dbc357d21e31b",516184129.824712
"0ada7044c5b29925abc90879",517383964.303811
"6305f02255274ab5fb6bd39c",516184129.824712
"d9a94194ae1350512beff3e6",516184129.824712
"e3896296cb80d50d9ad3f903",517383964.303811
"6514f355887c64136edb5595",674906608.372385
"f03400cc18e12903b3ffbe5a",653482333.747103
"4e134600155a64783b3f8c3e",660204537.540302
"d63ebc63c82fbf66d8b6ffd3",697945815.41946
"1bd64811bd59706844230198",631777390.208639
"a83921284639eedd4a511cb6",660204537.540302
"a2f3f7a1cd573e2a33f52e2d",660204537.540302
"47344a66471fa51f61c64652",660204537.540302
"78fd849c9429091347d7e5c9",660204537.540302
"c3daf2abea55af99c9579319",660204537.540302
"52864916eb1984abca41ec66",660204537.540302
"c62494a9d7aede44f2f84023",660204537.540302
"a2b576643f7a032371587e5e",726100791.64612
"e53bc68f0e97ccead24f3e56",516184129.824712
"fd82c710aad91bc90af490fe",545965702.449698
"d436abc2ee37ba3dd561e940",668308077.804661
"216a598114a403676011cb51",549022348.276838
"ea230d5eccd2b687888173bb",774952963.304832
"18bd0dd7580f2a7cb19a90b9",408721049.784292
"b143c8ca6d334f6a73c3f2a0",401684091.105392
"ab388cb4fa511968783bafee",454117962.514472
"6a4f08cd04d558a56af732d9",483952219.74609
"7216c895aa047c4f405c4941",525013952.204875
"a493488dcd906dc74cf8a604",631777390.208639
"7844b0b2bc65dced90a355c6",660204537.540302
"c1976383069b6b82ab29d092",422276898.467106
"e5cfd99e2308b7b73581dbdc",517383964.303811
"c18c2ea88f4ac53970b53d2c",454117962.514472
"842c9f0e4edf1e5a672ce15e",631777390.208639
"7dd1e46dcbddc6bf5ef694de",407342451.242255
"6cc4f32b39180bd1ec7e117b",660204537.540302
"79e643789a85dc4ffad49a25",780260063.880034
"b3402a9173d289d6db78e09d",660204537.540302
"a446507813234e358db8b573",512278907.710133
"c8ef57ddfb35061d1876f94e",557161179.022065
"360be0df2c003005e3db080e",1066298790.68555
"9ab245a4c91877cb7a8661ce",1031504080.8901
"a57a34c7486e7a40e8deb316",517383964.303811
"ceba7d0f56f6cb03538962fb",517383964.303811
"d5475993f9db58c3e4baf7a3",725623157.261453
"d37a1dda09e30da13ff5bfc3",517383964.303811
"68a8b8d077a8232723bf37e9",670218124.822149
"e1eea7716ca6490b7640717a",459711765.478607
"4ae6d75b10848d259ecba576",517383964.303811
"17afbce5c0b56732abbea936",517383964.303811
"84a2673eccd3cf3bd7fd3eb0",660204537.540302
"f2f4e6cbafe527b155707f01",631777390.208639
